ID;URL;Источник_сбора;Поисковый_запрос_тип;Позиция_в_выдаче;Заголовок;Домен;P1_Релевантность;P2_Научность;P3_Актуальность;P4_Достоверность;P5_Практическая_ценность;ИКМ;Класс_качества;Тип_источника;DOI;Год
BUBBLES_001;https://www.robeco.com/en-int/insights/2025/11/is-an-ai-bubble-forming-separating-hard-data-from-hype;google;bubbles_google_1;3;Is an AI bubble forming? Separating hard data from hype | Robeco Global;www.robeco.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
BUBBLES_002;https://aragonresearch.com/ai-bubble-hype-ai-markets;google;bubbles_google_1;8;AI Bubble Hype: How to Navigate the Future of AI Markets - Aragon Research;aragonresearch.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
BUBBLES_003;https://www.researchgate.net/publication/353504855_The_influence_of_media_on_investment_decisions_The_case_of_bubbles;scholar;bubbles_scholar_1;1;The influence of media on investment decisions. The case of bubbles;www.researchgate.net;8;9;6;9;5;7.4;средний;academic;Нет;2024
BUBBLES_004;https://www.dbresearch.com/PROD/RI-PROD/PROD0000000000604456/%E2%80%9CAI_bubble%E2%80%9D_bubble_bursts.pdf;scholar;bubbles_scholar_1;3;“AI bubble” bubble bursts;www.dbresearch.com;7;5;10;5;5;6.4;средний;blog;Нет;2025
BUBBLES_005;https://www.emerald.com/raf/article/24/3/286/1274308/The-impact-of-the-internet-bubble-on-broker;scholar;bubbles_scholar_1;4;The impact of the internet bubble on broker recommendations | Review of Accounting and Finance | Eme;www.emerald.com;6;5;9;5;5;6.0;средний;blog;Нет;2024
BUBBLES_006;https://link.springer.com/article/10.1186/s40854-025-00800-0;scholar;bubbles_scholar_1;5;Digital transformation and corporate financialization: evidence against the tech bubble hypothesis -;link.springer.com;6;9;10;9;5;7.8;средний;academic;Нет;2026
BUBBLES_007;https://www.sciencedirect.com/science/article/abs/pii/S1057521925008932;scholar;bubbles_scholar_1;7;Digital finance empowerment, social media sentiment, and asset price bubbles;www.sciencedirect.com;7;9;10;9;5;8.0;высокий;academic;Нет;2025
BUBBLES_008;https://www.jbs.cam.ac.uk/2026/report-reminds-that-hot-tech-doesnt-equate-with-bubbles;scholar;bubbles_scholar_1;8;Report reminds that hot tech doesn't equate with bubbles - News & insight;www.jbs.cam.ac.uk;6;5;10;5;5;6.2;средний;blog;Нет;2026
BUBBLES_009;https://www.gspublishing.com/content/research/en/reports/2025/10/08/3da3403c-c6ea-4a66-816f-a70e09afee7c.html;scholar;bubbles_scholar_1;9;Why we are not in a bubble yet - Goldman Sachs Research;www.gspublishing.com;6;5;10;5;5;6.2;средний;blog;Нет;2025
BUBBLES_010;https://www.weforum.org/stories/2026/01/how-would-the-bursting-of-an-ai-bubble-actually-play-out;scholar;bubbles_scholar_1;10;Anatomy of an AI reckoning - The World Economic Forum;www.weforum.org;6;5;6;5;5;5.4;низкий;blog;Нет;2024
BUBBLES_011;https://www.investopedia.com/terms/d/dotcom-bubble.asp;yandex;bubbles_yandex_1;2;Understanding the Dotcom Bubble: Causes, Impact, and Lessons - Investopedia;www.investopedia.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
BUBBLES_012;https://intuitionlabs.ai/articles/ai-bubble-vs-dot-com-comparison;yandex;bubbles_yandex_1;6;AI Bubble vs. Dot-com Bubble: A Data-Driven Comparison | IntuitionLabs;intuitionlabs.ai;6;5;6;5;5;5.4;низкий;blog;Нет;2024
BUBBLES_013;https://manifold.umn.edu/read/profit-over-privacy/section/ee270b37-d3d9-4312-b318-57ea01c2328f;yandex;bubbles_yandex_1;7;4. The Dot-com Bubble | Profit over Privacy | Manifold@UMinnPress;manifold.umn.edu;6;5;6;5;5;5.4;низкий;blog;Нет;2024
BUBBLES_014;https://corporatefinanceinstitute.com/resources/career-map/sell-side/capital-markets/dotcom-bubble;yandex;bubbles_yandex_1;9;Dotcom Bubble - Overview, Characteristics, Causes - Corporate Finance Institute;corporatefinanceinstitute.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
