ID;URL;Источник_сбора;Поисковый_запрос_тип;Позиция_в_выдаче;Заголовок;Домен;P1_Релевантность;P2_Научность;P3_Актуальность;P4_Достоверность;P5_Практическая_ценность;ИКМ;Класс_качества;Тип_источника;DOI;Год
EDUCATION_001;https://link.springer.com/article/10.1007/s11423-019-09678-z;google;education_google_30;1;How research informs educational technology decision;link.springer.com;7;9;5;9;5;7.0;средний;academic;Нет;2020
EDUCATION_002;https://www.classcentral.com/report/mooc-platforms;google;education_google_43;1;Massive List of MOOC Platforms Around the World in 2026;www.classcentral.com;6;5;10;5;5;6.2;средний;blog;Нет;2026
EDUCATION_003;https://alliancefordecisioneducation.org/teach/incubator/media-literacy;google;education_google_1;1;Exploring Decision-Making through Media Literacy;alliancefordecisioneducation.org;9;5;10;5;5;6.8;средний;blog;Нет;2026
EDUCATION_004;https://en.wikipedia.org/wiki/Educational_data_mining;google;education_google_42;1;Educational data mining;en.wikipedia.org;8;5;6;5;5;5.8;низкий;blog;Нет;2024
EDUCATION_005;https://education.ec.europa.eu/focus-topics/digital-education/plan;google;education_google_21;1;Digital Education Action Plan: policy background;education.ec.europa.eu;7;5;10;5;5;6.4;средний;blog;Нет;2025
EDUCATION_006;https://www.academicanalytics.com;google;education_google_32;1;Academic Analytics;www.academicanalytics.com;8;5;6;5;5;5.8;низкий;blog;Нет;2024
EDUCATION_007;https://www.smartsparrow.com/what-is-adaptive-learning;google;education_google_40;1;What is Adaptive Learning?;www.smartsparrow.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
EDUCATION_008;https://www.sciencedirect.com/science/article/pii/S1877050920314678;google;education_google_22;1;Learning Analytics framework for measuring students';www.sciencedirect.com;6;9;5;9;5;6.8;средний;academic;Нет;2020
EDUCATION_009;https://elearningindustry.com/directory/software-categories/learning-management-systems;google;education_google_31;1;Best Learning Management Systems (LMS) 2026 | Reviews & Pricing;elearningindustry.com;7;5;10;5;5;6.4;средний;blog;Нет;2026
EDUCATION_010;https://www.scribd.com/presentation/438017618/Types-of-Educational-Decision;google;education_google_20;1;Types of Educational Decision Making | PDF;www.scribd.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
EDUCATION_011;https://en.wikipedia.org/wiki/Student_information_system;google;education_google_41;1;Student information system;en.wikipedia.org;7;5;6;5;5;5.6;низкий;blog;Нет;2024
EDUCATION_012;https://www.researchgate.net/publication/298252001_Educational_Technology_Decision-Making_Technology_Acquisition_for_746000_Ontario_Students;google;education_google_30;2;(PDF) Educational Technology Decision-Making;www.researchgate.net;8;9;6;9;5;7.4;средний;academic;Нет;2024
EDUCATION_013;https://www.coursera.org/courses?query=mooc;google;education_google_43;2;Best MOOC Courses & Certificates [2026];www.coursera.org;10;5;10;5;5;7.0;средний;blog;Нет;2026
EDUCATION_014;https://pedagogie-digitala.ro/articol/RPD_2025_Brazauskiene_educational_decision_making_in_digital_education_a_conceptual_review.pdf;google;education_google_1;2;Educational Decision-Making in Digital Education;pedagogie-digitala.ro;8;5;10;5;5;6.6;средний;blog;Нет;2025
EDUCATION_015;https://media.neliti.com/media/publications/141759-ID-educational-data-mining-konsep-dan-pener.pdf;google;education_google_42;2;EDUCATIONAL DATA MINING (KONSEP DAN;media.neliti.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
EDUCATION_016;https://www.21kschool.com/vn/blog/digital-technology-in-education;google;education_google_21;2;Digital Technology in Education: A Novel Step For Future;www.21kschool.com;7;5;10;5;5;6.4;средний;blog;Нет;2025
EDUCATION_017;https://proctur.com/blog/school-academic-analytics-tools;google;education_google_32;2;School Academic Analytics Tools for Data-Driven Decisions - Proctur;proctur.com;10;5;6;5;5;6.2;средний;blog;Нет;2024
EDUCATION_018;https://www.hmhco.com/blog/what-is-adaptive-learning-technology?srsltid=AfmBOooNpq8_b2BADhOfqDquvHRmDu15WaoJagOYZS_zk62a9liTX5pa;google;education_google_40;2;What Is Adaptive Learning Technology?;www.hmhco.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
EDUCATION_019;https://intelliboard.net/blog/learning-analytics-framework;google;education_google_22;2;Six Critical Elements of a Learning Analytics Framework;intelliboard.net;8;5;6;5;5;5.8;низкий;blog;Нет;2024
EDUCATION_020;https://360learning.com/blog/learning-management-system-examples;google;education_google_31;2;16 Best Learning Management System Examples for 2026;360learning.com;7;5;10;5;5;6.4;средний;blog;Нет;2026
EDUCATION_021;https://ideas.repec.org/h/pal/palchp/978-1-137-49385-9_3.html;google;education_google_20;2;Educational Decision-Making;ideas.repec.org;7;5;6;5;5;5.6;низкий;blog;Нет;2024
EDUCATION_022;https://www.ellucian.com/blog/what-student-information-system-higher-ed;google;education_google_41;2;What is a Student Information System (SIS) in Higher Ed?;www.ellucian.com;9;5;6;5;5;6.0;средний;blog;Нет;2024
EDUCATION_023;https://epi.org.uk/wp-content/uploads/2025/12/Edtech-decision-making-and-inclusive-practice-Insights-from-Multi-Academy-Trusts.pdf;google;education_google_30;3;Edtech decision-making and inclusive practice;epi.org.uk;8;5;6;5;6;6.0;средний;blog;Нет;2024
EDUCATION_024;https://www.mooc-list.com/tags/business-analytics;google;education_google_43;3;Business Analytics MOOC and Free Online Courses;www.mooc-list.com;10;5;6;5;5;6.2;средний;blog;Нет;2024
EDUCATION_025;https://egyankosh.ac.in/bitstream/123456789/79434/3/Unit-11.pdf;google;education_google_1;3;UNIT 11 MEDIA INFLUENCE IN EDUCATION;egyankosh.ac.in;8;5;6;5;5;5.8;низкий;blog;Нет;2024
EDUCATION_026;https://www.researchgate.net/publication/359631908_Learning_Analytics_dan_Educational_Data_Mining_pada_Data_Pendidikan;google;education_google_42;3;Learning Analytics dan Educational Data Mining pada;www.researchgate.net;7;9;8;9;5;7.6;средний;academic;Нет;2023
EDUCATION_027;https://www.worldbank.org/ext/en/topic/education/digital-technologies-in-education;google;education_google_21;3;Digital Technologies in Education;www.worldbank.org;7;5;6;5;5;5.6;низкий;blog;Нет;2024
EDUCATION_028;https://sgraf.athabascau.ca/publications/ross_etal_TATA16.pdf;google;education_google_32;3;[PDF] The Academic Analytics Tool: Workflow and Use Cases;sgraf.athabascau.ca;7;5;6;5;5;5.6;низкий;blog;Нет;2024
EDUCATION_029;https://www.montclair.edu/itds/digital-pedagogy/pedagogical-strategies-and-practices/adaptive-learning;google;education_google_40;3;Adaptive Learning;www.montclair.edu;6;5;6;5;6;5.6;низкий;blog;Нет;2024
EDUCATION_030;https://dl.acm.org/doi/fullHtml/10.1145/3506860.3506878;google;education_google_22;3;A Comparison of Learning Analytics Frameworks;dl.acm.org;6;9;7;9;5;7.2;средний;academic;Да;2022
