ID;URL;Источник_сбора;Поисковый_запрос_тип;Позиция_в_выдаче;Заголовок;Домен;P1_Релевантность;P2_Научность;P3_Актуальность;P4_Достоверность;P5_Практическая_ценность;ИКМ;Класс_качества;Тип_источника;DOI;Год
FINANCE_001;https://www.litefinance.org/ru/blog/analysts-opinions/prognoz-ceny-cardano;elibrary;finance_elibrary_1;1;(ADA) Прогноз цены Cardano на 2026, 2027, 2028–2030 годы и далее - LiteFinance;www.litefinance.org;7;5;10;5;5;6.4;средний;blog;Нет;2026
FINANCE_002;https://economics.hse.ru/data/2025/12/04/194113450/Summary_Teterin_Rus.pdf;elibrary;finance_elibrary_1;2;[PDF] Тетерин Максим Алексевич АНАЛИЗ ВЛИЯНИЯ ИНТЕРНЕТ ДАННЫХ НА ВОЛАТИЛЬН - Факультет экономических;economics.hse.ru;6;5;6;5;5;5.4;низкий;blog;Нет;2024
FINANCE_003;https://www.gate.com/ru/crypto-wiki/article/what-is-bsu-a-comprehensive-guide-to-business-service-units-and-their-impact-on-modern-organizations-20251220;elibrary;finance_elibrary_1;3;Что такое BSU: подробное руководство по Business Service Units и их влиянии на современные организац;www.gate.com;10;5;6;5;5;6.2;средний;blog;Нет;2024
FINANCE_004;https://valyuta.az/ru/news/afb-bank-uzunmuddetli-strategiyasini-aciqladi;elibrary;finance_elibrary_1;4;AFB Bank объявил долгосрочную стратегию ® - Valyuta.az;valyuta.az;6;5;10;5;6;6.4;средний;blog;Нет;2025
FINANCE_005;https://www.litefinance.org/ru/blog/analysts-opinions/prognoz-visa;elibrary;finance_elibrary_1;5;Прогноз Visa: курс акций #V на 2026, 2027–2028, 2030 годы и далее - LiteFinance;www.litefinance.org;7;5;10;5;5;6.4;средний;blog;Нет;2026
FINANCE_006;https://tgstat.ru/channel/@aixkz;elibrary;finance_elibrary_1;7;"Telegram-канал ""Astana International Exchange"" — @aixkz - TGStat";tgstat.ru;6;5;6;5;5;5.4;низкий;blog;Нет;2024
FINANCE_007;https://www.gate.com/ru/crypto-wiki/article/what-is-link-understanding-the-cryptocurrency-powering-smart-contracts-20251114;elibrary;finance_elibrary_1;8;Что такое LINK: Понимание криптовалюты, лежащей в основе работы смарт-контрактов - Gate.com;www.gate.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
FINANCE_008;https://www.litefinance.org/ru/blog/analysts-opinions/prognoz-gbp-usd;elibrary;finance_elibrary_1;9;Прогноз курса GBP/USD (фунта к доллару) на 2026, 2027, 2028–2030, 2040 годы и далее | LiteFinance;www.litefinance.org;7;5;10;5;5;6.4;средний;blog;Нет;2026
FINANCE_009;https://www.litefinance.org/ru/blog/analysts-opinions/prognoz-eurusd;elibrary;finance_elibrary_1;10;Прогноз евро/доллар: курс EUR/USD на 2026, 2027–2028 годы и далее - LiteFinance;www.litefinance.org;7;5;10;5;5;6.4;средний;blog;Нет;2026
FINANCE_010;https://www.investor.gov/free-financial-planning-tools;google;finance_google_30;1;Free Financial Planning Tools;www.investor.gov;6;5;6;5;5;5.4;низкий;blog;Нет;2024
