ID;URL;Источник_сбора;Поисковый_запрос_тип;Позиция_в_выдаче;Заголовок;Домен;P1_Релевантность;P2_Научность;P3_Актуальность;P4_Достоверность;P5_Практическая_ценность;ИКМ;Класс_качества;Тип_источника;DOI;Год
MEDICINE_001;https://pmc.ncbi.nlm.nih.gov/articles/PMC9560052;google;medicine_google_20;1;Medical Decision Making - an Overview - PMC;pmc.ncbi.nlm.nih.gov;7;9;7;9;5;7.4;средний;academic;Нет;2022
MEDICINE_002;https://www.ncbi.nlm.nih.gov/books/NBK597466;google;medicine_google_32;1;Electronic Health Records as Source of Research Data - NCBI;www.ncbi.nlm.nih.gov;7;5;8;5;5;6.0;средний;blog;Нет;2023
MEDICINE_003;https://www.ibm.com/think/topics/interoperability-in-healthcare;google;medicine_google_41;1;What Is Interoperability in Healthcare?;www.ibm.com;7;7;6;7;5;6.4;средний;industry;Нет;2024
MEDICINE_004;https://instacare.com.pk/ai-for-medical-diagnosis;google;medicine_google_31;1;AI For Medical Diagnosis – Tools, Benefits, And  - Instacare;instacare.com.pk;8;5;10;5;5;6.6;средний;blog;Нет;2025
MEDICINE_005;https://ictr.johnshopkins.edu/service/informatics/pmap;google;medicine_google_40;1;Precision Medicine Analytics Platform (PMAP);ictr.johnshopkins.edu;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_006;https://aiderc.eng.ui.ac.id/ai-for-health-and-medical-imaging;google;medicine_google_42;1;AI for Health and Medical Imaging – AIDER-RC;aiderc.eng.ui.ac.id;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_007;https://www.ncbi.nlm.nih.gov/books/NBK614158;google;medicine_google_22;1;Healthcare Analytics - StatPearls - NCBI Bookshelf;www.ncbi.nlm.nih.gov;9;5;6;5;6;6.2;средний;blog;Нет;2024
MEDICINE_008;https://www.who.int/westernpacific/activities/strengthening-health-information-systems-for-decision-making-in-countries;google;medicine_google_30;1;Strengthening health information systems for decision;www.who.int;9;5;6;5;5;6.0;средний;blog;Нет;2024
MEDICINE_009;https://www.mindray.com/in/products/patient-monitoring;google;medicine_google_43;1;Patient Monitoring System provider in India;www.mindray.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_010;https://www.msdmanuals.com/home/special-subjects/clinical-research-and-medical-decision-making/overview-of-medical-decision-making;google;medicine_google_20;2;Overview of Medical Decision Making - Special Subjects;www.msdmanuals.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_011;https://www.cdc.gov/data-interoperability/php/about/index.html;google;medicine_google_41;2;About Public Health Data Interoperability | PHDI;www.cdc.gov;7;5;10;5;5;6.4;средний;blog;Нет;2025
MEDICINE_012;https://nmji.in/influence-of-social-media-on-health-related-decision-making-among-adults-attending-an-outpatient-department-of-a-tertiary-care-centre-in-india-a-cross-sectional-analytical-study;google;medicine_google_1;2;Influence of social media on health-related decision-making among adults attending an outpatient dep;nmji.in;8;5;9;5;5;6.4;средний;blog;Нет;2024
MEDICINE_013;https://pm.jh.edu/platform-pmap;google;medicine_google_40;2;Precision Medicine Analytics Platform (PMAP);pm.jh.edu;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_014;https://www.endava.com/glossary/healthcare-analytics;google;medicine_google_22;2;Healthcare analytics: Definition, types, uses, benefits - Endava;www.endava.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_015;https://pmc.ncbi.nlm.nih.gov/articles/PMC5388923;google;medicine_google_30;2;Representation of People's Decisions in Health Information;pmc.ncbi.nlm.nih.gov;7;9;6;9;5;7.2;средний;academic;Нет;2024
MEDICINE_016;https://www.healthrecoverysolutions.com/blog/7-common-remote-patient-monitoring-devices;google;medicine_google_43;2;7 Common Remote Patient Monitoring Devices;www.healthrecoverysolutions.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
MEDICINE_017;https://journals.sagepub.com/home/MDM;google;medicine_google_20;3;Medical Decision Making;journals.sagepub.com;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_018;https://www.oracle.com/health/electronic-health-records-ehr;google;medicine_google_32;3;Electronic Health Records (EHRs) Explained;www.oracle.com;7;5;10;5;5;6.4;средний;blog;Нет;2025
MEDICINE_019;https://cubig.ai/blogs/healthcare-data-interoperability-standards-examples-importance-explained;google;medicine_google_41;3;Healthcare Data Interoperability: Standards, Examples;cubig.ai;8;5;10;5;5;6.6;средний;blog;Нет;2025
MEDICINE_020;https://ascopubs.org/doi/10.1200/OP.23.00430;google;medicine_google_1;3;Decision Making in Health Care: Embracing the Real People Comprising the Patient-Doctor Relationship;ascopubs.org;8;5;9;5;6;6.6;средний;blog;Да;2024
MEDICINE_021;https://rewoso.com/what-we-do-precision-medicine-analytics;google;medicine_google_40;3;Precision Medicine Analytics;rewoso.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_022;https://www.iso.org/healthcare/data-analytics;google;medicine_google_22;3;An easy guide to understanding healthcare data analytics - ISO;www.iso.org;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_023;https://www.researchgate.net/publication/293640567_Health_Information_Systems_In_The_Decision-Making_Process_In_Primary_Care;google;medicine_google_30;3;(PDF) Health Information Systems In The Decision-Making;www.researchgate.net;9;9;6;9;5;7.6;средний;academic;Нет;2024
MEDICINE_024;https://vantagemedtech.com/the-components-of-patient-monitoring-systems;google;medicine_google_43;3;The Components of Patient Monitoring Systems;vantagemedtech.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_025;https://www.sciencedirect.com/topics/social-sciences/medical-decision-making;google;medicine_google_20;4;Medical Decision Making - an overview;www.sciencedirect.com;7;9;6;9;5;7.2;средний;academic;Нет;2024
MEDICINE_026;https://www.sciencedirect.com/science/article/pii/S2589750022001546;google;medicine_google_32;4;Leveraging electronic health records for data science;www.sciencedirect.com;6;9;7;9;5;7.2;средний;academic;Нет;2022
MEDICINE_027;https://www.medidata.com/en/healthcare-data-interoperability;google;medicine_google_41;4;Healthcare Data Interoperability;www.medidata.com;6;5;6;5;5;5.4;низкий;blog;Нет;2024
MEDICINE_028;https://pubmed.ncbi.nlm.nih.gov/40299718;google;medicine_google_1;4;Impact of social media on patient expectations and decision-making in gynecology;pubmed.ncbi.nlm.nih.gov;9;5;6;5;5;6.0;средний;blog;Нет;2024
MEDICINE_029;https://pmc.ncbi.nlm.nih.gov/articles/PMC6477571;google;medicine_google_40;4;Health Care and Precision Medicine Research: Analysis of a;pmc.ncbi.nlm.nih.gov;8;9;6;9;5;7.4;средний;academic;Нет;2024
MEDICINE_030;https://www.coursera.org/in/articles/healthcare-analytics;google;medicine_google_22;4;Healthcare Analytics: Definition, Impact, and More - Coursera;www.coursera.org;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_031;https://link.springer.com/article/10.1007/s44250-024-00136-z;google;medicine_google_30;4;Health information systems data for decision-making: case;link.springer.com;10;9;9;9;5;8.4;высокий;academic;Нет;2024
MEDICINE_032;https://in.element14.com/patient-monitoring-system;google;medicine_google_43;4;Patient Monitoring System | Medical;in.element14.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_033;https://smdm.org/definition-of-medical-decision-making;google;medicine_google_20;5;Definition of Medical Decision Making;smdm.org;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_034;https://en.wikipedia.org/wiki/Electronic_health_record;google;medicine_google_32;5;Electronic health record;en.wikipedia.org;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_035;https://www.sciencedirect.com/topics/neuroscience/medical-decision-making;google;medicine_google_1;5;Medical Decision Making - an overview;www.sciencedirect.com;7;9;6;9;5;7.2;средний;academic;Нет;2024
MEDICINE_036;https://pmp.heart.org;google;medicine_google_40;5;Precision Medicine Platform: AHA;pmp.heart.org;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_037;https://pmc.ncbi.nlm.nih.gov/articles/PMC10740686;google;medicine_google_42;5;How Artificial Intelligence Is Shaping Medical Imaging  - PMC;pmc.ncbi.nlm.nih.gov;6;9;8;9;5;7.4;средний;academic;Нет;2023
MEDICINE_038;https://www.foreseemed.com/clinical-decision-support;google;medicine_google_21;5;Clinical Decision Support Systems (CDSS);www.foreseemed.com;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_039;https://nhsrcindia.org/health-data-analytics;google;medicine_google_22;5;Health Data Analytics - National Health Systems Resource Centre;nhsrcindia.org;8;5;6;5;5;5.8;низкий;blog;Нет;2024
MEDICINE_040;https://www.sciencedirect.com/science/article/abs/pii/S0164121225001384;google;medicine_google_30;5;AI-Driven Decision-Making in Healthcare Information;www.sciencedirect.com;8;9;10;9;5;8.2;высокий;academic;Нет;2025
MEDICINE_041;https://www.gehealthcare.in/products/patient-monitoring/patient-monitors;google;medicine_google_43;5;Patient Monitors;www.gehealthcare.in;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_042;https://www.lumc.nl/en/afdelingen/biomedical-data-sciences/medical-decision-making;google;medicine_google_20;6;Medical Decision Making;www.lumc.nl;7;5;6;5;5;5.6;низкий;blog;Нет;2024
MEDICINE_043;https://www.ncbi.nlm.nih.gov/books/NBK551878;google;medicine_google_32;6;Obtaining Data From Electronic Health Records - - NCBI - NIH;www.ncbi.nlm.nih.gov;6;5;6;5;5;5.4;низкий;blog;Нет;2024
MEDICINE_044;https://www.salesforce.com/healthcare/providers/healthcare-data-interoperability;google;medicine_google_41;6;What Is Interoperability in Healthcare?;www.salesforce.com;7;5;6;5;5;5.6;низкий;blog;Нет;2024
